Date;Revenue
2021-11-01;0
2021-11-02;0
2021-11-03;0
2021-11-04;0
2021-11-05;0
2021-11-06;0
2021-11-07;0
2021-11-08;0
2021-11-09;0
2021-11-10;0
2021-11-11;0
2021-11-12;0
2021-11-13;0
2021-11-14;0
2021-11-15;0
2021-11-16;0
2021-11-17;0
2021-11-18;0
2021-11-19;0
2021-11-20;0
2021-11-21;0
2021-11-22;0
2021-11-23;0
2021-11-24;0
2021-11-25;0
2021-11-26;0
2021-11-27;0
2021-11-28;0
2021-11-29;5.0
2021-11-30;0
2021-12-01;5.0
2021-12-02;0
2021-12-03;10.0
2021-12-04;0
2021-12-05;0
2021-12-06;0
2021-12-07;0
2021-12-08;0
2021-12-09;0
2021-12-10;0
2021-12-11;0
2021-12-12;0
2021-12-13;0
2021-12-14;0
2021-12-15;0
2021-12-16;0
2021-12-17;0
2021-12-18;0
2021-12-19;0
2021-12-20;0
2021-12-21;0
2021-12-22;0
2021-12-23;0
2021-12-24;0
2021-12-25;0
2021-12-26;0
2021-12-27;0
2021-12-28;0
2021-12-29;0
2021-12-30;0
